school,district,last_open_year,closed_for_sy,enrollment,level,city,county_fips,locale,town_lost_last_school,successor_school
LONGFELLOW ELEMENTARY SCHOOL,MAYFIELD INDEPENDENT,2004,2005,379,elementary,MAYFIELD,21083,6,False,
SPARKS ELEMENTARY SCHOOL,MAYFIELD INDEPENDENT,2004,2005,210,middle,MAYFIELD,21083,6,False,
EAGLE ELEMENTARY SCHOOL,MCCREARY COUNTY,2004,2005,116,elementary,PARKERS LAKE,21147,7,True,
WHITLEY CITY MIDDLE SCHOOL,MCCREARY COUNTY,2004,2005,442,middle,STEARNS,21147,7,False,
PINE KNOT ELEMENTARY SCHOOL,MCCREARY COUNTY,2004,2005,533,elementary,PINE KNOT,21147,7,False,
PINE KNOT MIDDLE SCHOOL,MCCREARY COUNTY,2004,2005,338,middle,PINE KNOT,21147,7,False,
SMITHTOWN ELEMENTARY SCHOOL,MCCREARY COUNTY,2004,2005,148,elementary,STEARNS,21147,7,False,
STEARNS ELEMENTARY SCHOOL,MCCREARY COUNTY,2004,2005,230,elementary,STEARNS,21147,7,False,
DRAKESBORO CONSOLIDATED ELEM SCHOOL,MUHLENBERG COUNTY,2004,2005,197,elementary,DRAKESBORO,21177,7,True,
HUGHES KIRK ELEMENTARY SCHOOL,MUHLENBERG COUNTY,2004,2005,397,elementary,BEECHMONT,21177,7,False,
TURKEY CREEK MIDDLE SCHOOL,PIKE COUNTY,2004,2005,205,middle,TURKEY CREEK,21195,7,True,
MOREHEAD ELEMENTARY SCHOOL,ROWAN COUNTY,2004,2005,422,elementary,MOREHEAD,21205,6,False,
KNIFLEY ELEMENTARY SCHOOL,ADAIR COUNTY,2005,2006,143,elementary,KNIFLEY,21001,7,True,
SHEPHERD ELEMENTARY SCHOOL,ADAIR COUNTY,2005,2006,190,elementary,COLUMBIA,21001,7,False,
